unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr
100654,2000,1020,504,516,118,24,94,18.65
100663,2000,1234,748,486,173,51,122,16.31
100751,2000,2886,1653,1233,1038,303,735,44.46
100858,2000,3861,1990,1871,1277,451,826,41.51
101435,2000,151,95,56,67,21,46,48.42
101480,2000,850,443,407,127,39,88,19.86
101675,2000,425,220,205,85,19,66,30
101879,2000,824,481,343,143,35,108,22.45
102049,2000,657,427,230,359,122,237,55.5
102094,2000,1064,679,385,167,46,121,17.82
102234,2000,284,186,98,158,47,111,59.68
102368,2000,941,513,428,271,105,166,32.36
102377,2000,591,354,237,149,37,112,31.64
104151,2000,5763,3058,2705,1615,596,1019,33.32
104179,2000,5443,2924,2519,1613,618,995,34.03
105330,2000,2273,1384,889,613,174,439,31.72
106245,2000,836,484,352,73,28,45,9.3
106342,2000,127,71,56,74,30,44,61.97
106397,2000,2179,1092,1087,645,246,399,36.54
106412,2000,629,330,299,43,13,30,9.09
106458,2000,1591,893,698,307,97,210,23.52
106467,2000,1124,593,531,205,70,135,22.77
106485,2000,628,346,282,51,17,34,9.83
106704,2000,1627,982,645,325,80,245,24.95
107044,2000,975,557,418,365,137,228,40.93
107080,2000,326,173,153,194,85,109,63.01
107141,2000,276,164,112,140,51,89,54.27
107512,2000,440,247,193,187,69,118,47.77
107558,2000,166,100,66,52,17,35,35
110097,2000,608,409,199,326,88,238,58.19
110404,2000,205,74,131,166,107,59,79.73
110422,2000,3053,1332,1721,607,212,395,29.65
110486,2000,545,349,196,77,22,55,15.76
110495,2000,565,362,203,113,27,86,23.76
110510,2000,1146,750,396,142,33,109,14.53
110529,2000,2600,1121,1479,265,113,152,13.56
110538,2000,1931,1079,852,336,79,257,23.82
110547,2000,495,355,140,31,7,24,6.76
110556,2000,1885,1138,747,227,67,160,14.06
110565,2000,2655,1609,1046,381,83,298,18.52
110574,2000,669,452,217,109,26,83,18.36
110583,2000,3214,2038,1176,375,87,288,14.13
110592,2000,1184,755,429,126,24,102,13.51
110617,2000,2055,1198,857,178,36,142,11.85
113698,2000,113,86,27,48,13,35,40.7
115755,2000,769,460,309,94,32,62,13.48
119173,2000,297,296,1,67,1,66,22.3
120184,2000,137,99,38,54,15,39,39.39
121309,2000,539,312,227,274,101,173,55.45
121345,2000,398,208,190,346,163,183,87.98
122409,2000,2719,1598,1121,472,130,342,21.4
122436,2000,1024,642,382,656,225,431,67.13
122597,2000,1870,1212,658,205,54,151,12.46
122612,2000,757,518,239,363,100,263,50.77
122931,2000,1025,544,481,814,366,448,82.35
123554,2000,620,366,254,368,149,219,59.84
123572,2000,1064,714,350,236,46,190,26.61
126562,2000,515,296,219,71,23,48,16.22
126580,2000,718,457,261,162,38,124,27.13
126614,2000,5047,2445,2602,1937,829,1108,45.32
126818,2000,3240,1862,1378,1119,370,749,40.23
127060,2000,926,505,421,526,214,312,61.78
127185,2000,938,428,510,120,45,75,17.52
127565,2000,1435,778,657,79,27,52,6.68
127741,2000,2113,1240,873,605,162,443,35.73
128106,2000,641,331,310,101,41,60,18.13
128744,2000,161,80,81,53,21,32,40
128771,2000,1304,635,669,141,42,99,15.59
129020,2000,2802,1549,1253,1484,554,930,60.04
129242,2000,1008,610,398,797,291,506,82.95
129941,2000,457,195,262,101,48,53,27.18
130253,2000,834,498,336,477,168,309,62.05
130314,2000,187,187,0,86,0,86,45.99
130493,2000,1350,775,575,142,38,104,13.42
130590,2000,489,253,236,389,181,208,82.21
130697,2000,720,371,349,607,281,326,87.87
130776,2000,822,404,418,104,42,62,15.35
130794,2000,1349,678,671,1189,582,607,89.53
130934,2000,684,405,279,155,36,119,29.38
130943,2000,3128,1926,1202,1884,620,1264,65.63
131159,2000,1272,821,451,818,260,558,67.97
131283,2000,530,298,232,315,126,189,63.42
131450,2000,241,123,118,16,3,13,10.57
131469,2000,2093,1241,852,1504,574,930,74.94
